date,mean_price,valid_days,window_start,window_end,mean_price_change
2013-02-25,112.415,6,2013-02-16,2013-02-25,
2013-03-27,105.96,8,2013-03-18,2013-03-27,-6.455
2013-04-10,104.6962,8,2013-04-01,2013-04-10,-1.2638
2013-04-25,97.7162,8,2013-04-16,2013-04-25,-6.98
2013-05-10,101.3275,8,2013-05-01,2013-05-10,3.6112
2013-05-23,100.6225,8,2013-05-14,2013-05-23,-0.705
2013-06-07,100.1875,8,2013-05-29,2013-06-07,-0.435
2013-06-22,102.3629,7,2013-06-13,2013-06-22,2.1754
2013-07-06,101.3871,7,2013-06-27,2013-07-06,-0.9757
2013-07-20,105.4457,7,2013-07-11,2013-07-20,4.0586
2013-08-02,105.4588,8,2013-07-24,2013-08-02,0.013
2013-08-16,106.0962,8,2013-08-07,2013-08-16,0.6375
2013-08-31,110.01,7,2013-08-22,2013-08-31,3.9137
2013-09-14,110.4743,7,2013-09-05,2013-09-14,0.4643
2013-09-30,106.2117,6,2013-09-21,2013-09-30,-4.2626
2013-10-17,107.4988,8,2013-10-08,2013-10-17,1.2871
2013-11-01,105.9475,8,2013-10-23,2013-11-01,-1.5512
2013-11-15,103.625,8,2013-11-06,2013-11-15,-2.3225
2013-11-29,106.4612,8,2013-11-20,2013-11-29,2.8363
2013-12-13,107.4262,8,2013-12-04,2013-12-13,0.965
2013-12-26,107.74,6,2013-12-17,2013-12-26,0.3138
2014-01-11,104.7829,7,2014-01-02,2014-01-11,-2.9571
2014-01-25,104.9386,7,2014-01-16,2014-01-25,0.1557
2014-02-12,103.97,8,2014-02-03,2014-02-12,-0.9686
2014-02-27,106.6238,8,2014-02-18,2014-02-27,2.6538
2014-03-12,105.1625,8,2014-03-03,2014-03-12,-1.4612
2014-03-27,103.2562,8,2014-03-18,2014-03-27,-1.9063
2014-04-10,102.9412,8,2014-04-01,2014-04-10,-0.315
2014-04-25,105.3829,7,2014-04-16,2014-04-25,2.4416
2014-05-10,104.02,7,2014-05-01,2014-05-10,-1.3629
2014-05-24,106.4229,7,2014-05-15,2014-05-24,2.4029
2014-06-09,105.355,6,2014-05-31,2014-06-09,-1.0679
2014-06-24,109.7371,7,2014-06-15,2014-06-24,4.3821
2014-07-07,107.8367,6,2014-06-28,2014-07-07,-1.9005
2014-07-22,104.8,7,2014-07-13,2014-07-22,-3.0367
2014-08-04,104.1383,6,2014-07-26,2014-08-04,-0.6617
2014-08-19,100.5871,7,2014-08-10,2014-08-19,-3.5512
2014-09-02,99.7114,7,2014-08-24,2014-09-02,-0.8757
2014-09-17,95.8462,8,2014-09-08,2014-09-17,-3.8652
2014-09-30,94.2786,7,2014-09-21,2014-09-30,-1.5677
2014-10-18,84.5743,7,2014-10-09,2014-10-18,-9.7043
2014-11-01,82.4229,7,2014-10-23,2014-11-01,-2.1514
2014-11-15,76.9671,7,2014-11-06,2014-11-15,-5.4557
2014-11-29,73.26,7,2014-11-20,2014-11-29,-3.7071
2014-12-13,62.6,7,2014-12-04,2014-12-13,-10.66
2014-12-27,56.068,5,2014-12-18,2014-12-27,-6.532
2015-01-13,45.1643,7,2015-01-04,2015-01-13,-10.9037
2015-01-27,43.2914,7,2015-01-18,2015-01-27,-1.8729
2015-02-10,51.8671,7,2015-02-01,2015-02-10,8.5757
2015-02-28,55.3114,7,2015-02-19,2015-02-28,3.4443
2015-03-12,54.5162,8,2015-03-03,2015-03-12,-0.7952
2015-03-27,51.1,8,2015-03-18,2015-03-27,-3.4163
2015-04-11,53.7633,6,2015-04-02,2015-04-11,2.6633
2015-04-25,59.2743,7,2015-04-16,2015-04-25,5.511
2015-05-12,63.1957,7,2015-05-03,2015-05-12,3.9214
2015-05-25,61.6783,6,2015-05-16,2015-05-25,-1.5174
2015-06-09,60.3029,7,2015-05-31,2015-06-09,-1.3755
2015-06-23,60.0543,7,2015-06-14,2015-06-23,-0.2486
2015-07-08,57.29,8,2015-06-29,2015-07-08,-2.7643
2015-07-22,54.2188,8,2015-07-13,2015-07-22,-3.0713
2015-08-05,49.855,8,2015-07-27,2015-08-05,-4.3638
2015-08-19,46.6375,8,2015-08-10,2015-08-19,-3.2175
2015-09-02,43.6975,8,2015-08-24,2015-09-02,-2.94
2015-09-17,44.6825,8,2015-09-08,2015-09-17,0.985
2015-09-30,43.9012,8,2015-09-21,2015-09-30,-0.7813
2015-10-21,45.3,8,2015-10-12,2015-10-21,1.3987
2015-11-04,43.625,8,2015-10-26,2015-11-04,-1.675
2015-11-18,39.9812,8,2015-11-09,2015-11-18,-3.6437
2015-12-02,39.1325,8,2015-11-23,2015-12-02,-0.8488
2016-01-14,27.595,8,2016-01-05,2016-01-14,-11.5375
2016-01-27,24.4238,8,2016-01-18,2016-01-27,-3.1712
2016-02-15,27.275,6,2016-02-06,2016-02-15,2.8513
2016-02-29,29.4633,6,2016-02-20,2016-02-29,2.1883
2016-03-14,35.0233,6,2016-03-05,2016-03-14,5.56
2016-03-28,35.755,6,2016-03-19,2016-03-28,0.7317
2016-04-12,35.2,7,2016-04-03,2016-04-12,-0.555
2016-04-27,39.23,8,2016-04-18,2016-04-27,4.03
