date,mean_price,valid_days,window_start,window_end,mean_price_change
2013-02-25,112.92,6,2013-02-15,2013-02-24,
2013-03-27,105.8414,7,2013-03-17,2013-03-26,-7.0786
2013-04-10,104.9014,7,2013-03-31,2013-04-09,-0.94
2013-04-25,97.55,8,2013-04-15,2013-04-24,-7.3514
2013-05-10,101.275,8,2013-04-30,2013-05-09,3.725
2013-05-23,100.8025,8,2013-05-13,2013-05-22,-0.4725
2013-06-07,100.1212,8,2013-05-28,2013-06-06,-0.6812
2013-06-22,102.1788,8,2013-06-12,2013-06-21,2.0575
2013-07-06,101.1375,8,2013-06-26,2013-07-05,-1.0413
2013-07-20,105.3512,8,2013-07-10,2013-07-19,4.2137
2013-08-02,105.3712,8,2013-07-23,2013-08-01,0.02
2013-08-16,105.8162,8,2013-08-06,2013-08-15,0.445
2013-08-31,109.6275,8,2013-08-21,2013-08-30,3.8113
2013-09-14,110.6088,8,2013-09-04,2013-09-13,0.9813
2013-09-30,106.5,6,2013-09-20,2013-09-29,-4.1087
2013-10-17,107.4275,8,2013-10-07,2013-10-16,0.9275
2013-11-01,106.1025,8,2013-10-22,2013-10-31,-1.325
2013-11-15,103.4487,8,2013-11-05,2013-11-14,-2.6538
2013-11-29,106.205,8,2013-11-19,2013-11-28,2.7563
2013-12-13,107.6925,8,2013-12-03,2013-12-12,1.4875
2013-12-26,107.6229,7,2013-12-16,2013-12-25,-0.0696
2014-01-11,104.7829,7,2014-01-01,2014-01-10,-2.84
2014-01-25,104.8562,8,2014-01-15,2014-01-24,0.0734
2014-02-12,103.7571,7,2014-02-02,2014-02-11,-1.0991
2014-02-27,106.625,8,2014-02-17,2014-02-26,2.8679
2014-03-12,105.3643,7,2014-03-02,2014-03-11,-1.2607
2014-03-27,103.2637,8,2014-03-17,2014-03-26,-2.1005
2014-04-10,102.91,8,2014-03-31,2014-04-09,-0.3537
2014-04-25,105.36,7,2014-04-15,2014-04-24,2.45
2014-05-10,104.0112,8,2014-04-30,2014-05-09,-1.3488
2014-05-24,106.3225,8,2014-05-14,2014-05-23,2.3113
2014-06-09,105.3867,6,2014-05-30,2014-06-08,-0.9358
2014-06-24,109.7567,6,2014-06-14,2014-06-23,4.37
2014-07-07,108.2167,6,2014-06-27,2014-07-06,-1.54
2014-07-22,104.6433,6,2014-07-12,2014-07-21,-3.5733
2014-08-04,104.5933,6,2014-07-25,2014-08-03,-0.05
2014-08-19,100.8633,6,2014-08-09,2014-08-18,-3.73
2014-09-02,99.8383,6,2014-08-23,2014-09-01,-1.025
2014-09-17,95.8471,7,2014-09-07,2014-09-16,-3.9912
2014-09-30,94.2967,6,2014-09-20,2014-09-29,-1.5505
2014-10-18,85.0425,8,2014-10-08,2014-10-17,-9.2542
2014-11-01,82.3625,8,2014-10-22,2014-10-31,-2.68
2014-11-15,77.11,8,2014-11-05,2014-11-14,-5.2525
2014-11-29,73.3588,8,2014-11-19,2014-11-28,-3.7512
2014-12-13,63.1888,8,2014-12-03,2014-12-12,-10.17
2014-12-27,55.9967,6,2014-12-17,2014-12-26,-7.1921
2015-01-13,45.775,6,2015-01-03,2015-01-12,-10.2217
