w1,w2,w3,alpha,beta,pi0,regression_mae,full_model_mae,full_model_rmse,full_model_mape,volatility_mae,volatility_rmse,volatility_mape,sample_count,validation_count,price_rank,volatility_rank
0.08,0.92,0.0,1.1814882055307325,3079.4005631903083,653.7068323944709,97.86961660201014,97.90084243160508,116.99004722586407,0.01291005402696272,97.90084243160508,116.99004722586407,0.7434169181351317,158,241,1,1
0.06,0.94,0.0,1.1800826451410333,3083.0475333008703,649.7647658824758,97.77906392256872,97.90923319955552,116.94388667434467,0.012913622386824112,97.90923319955552,116.94388667434467,0.7436878836986519,158,241,2,2
0.1,0.9,0.0,1.1828664392353019,3075.914572558916,657.5945011206077,97.99336815053852,97.95577801625035,117.10148479143471,0.012914294258861647,97.95577801625035,117.10148479143471,0.7434727408608567,158,241,3,3
0.04,0.96,0.0,1.1786433468775732,3086.951712493243,645.697910833906,97.72727749476846,97.96390844295998,116.9633555387126,0.012923359591232414,97.96390844295998,116.9633555387126,0.7441693805549799,158,241,4,4
0.08,0.9,0.02,1.1802865337355577,3089.645372617174,648.3675565987087,97.95515800250135,98.02100580031703,117.05694477006489,0.012931249335287814,98.02100580031703,117.05694477006489,0.7444150066690975,158,241,5,5
0.02,0.98,0.0,1.17715260634237,3091.3067619061767,641.3717102454548,97.68625317650918,98.03559398102725,117.05683093123915,0.012935524627271645,98.03559398102725,117.05683093123915,0.7447418133180905,158,241,6,6
0.06,0.92,0.02,1.1788747546330933,3093.3430975900046,644.394060737362,97.86750161092374,98.03571113848538,117.00767132774575,0.012935926962371233,98.03571113848538,117.00767132774575,0.7446962506817912,158,241,7,7
0.12,0.88,0.0,1.1842339212231399,3072.462455729837,661.5067449287544,98.1356044054051,98.04556980557288,117.27022555967416,0.012922789333163286,98.04556980557288,117.27022555967416,0.7437683760223909,158,241,8,8
0.1,0.88,0.02,1.1816640064187074,3086.1707650734998,652.2441683570446,98.07266751740241,98.08001549714122,117.17181273113785,0.01293591376675593,98.08001549714122,117.17181273113785,0.7443793270120891,158,241,9,9
0.04,0.94,0.02,1.177446036759013,3097.153996511879,640.389735798432,97.8180300567285,98.10336782043838,117.02011493916976,0.012947600895880177,98.10336782043838,117.02011493916976,0.7452426557420401,158,241,10,10
0.0,1.0,0.0,1.1756278521475558,3095.8798756359524,636.9532930189375,97.6499620114827,98.10895724273092,117.20623323247356,0.01294785374460708,98.10895724273092,117.20623323247356,0.7453270968373797,158,241,11,11
0.14,0.86,0.0,1.1855669552259451,3069.234079063379,665.3215632822312,98.31781597597627,98.16054759631717,117.49802329647201,0.012935023917091797,98.16054759631717,117.49802329647201,0.7442318920594692,158,241,12,12
0.08,0.88,0.04,1.179081528408486,3099.896783924084,643.0327619337936,98.0452369321104,98.17177842663874,117.14779410848824,0.01295639711465838,98.17177842663874,117.14779410848824,0.7454291034834362,158,241,13,13
0.02,0.96,0.02,1.1759558052977428,3101.5004939173896,636.0722161532694,97.77635466384591,98.1743891247957,117.10787442050636,0.012959670648590386,98.1743891247957,117.10787442050636,0.7458093341421952,158,241,14,14
0.12,0.86,0.02,1.1830234865351332,3082.7880633193545,656.1079544882373,98.23939325859287,98.18552627526265,117.34622317128594,0.012946637077862318,98.18552627526265,117.34622317128594,0.7447650713624843,158,241,15,15
0.06,0.9,0.04,1.177673825437887,3103.572687898052,639.0727249833731,97.95852865900429,98.19621185808458,117.0954007226145,0.012962782305247274,98.19621185808458,117.0954007226145,0.7457711178633919,158,241,16,16
0.1,0.86,0.04,1.1804582628383675,3096.433228310948,646.8985655703859,98.16916099154719,98.215159855956,117.2649892510671,0.012958919010793258,98.215159855956,117.2649892510671,0.7454164280268928,158,241,17,17
0.04,0.92,0.04,1.1762430116200666,3107.3915813415924,635.0659392549601,97.90925945505322,98.24451521644738,117.10148492168055,0.01297203853254625,98.24451521644738,117.10148492168055,0.7463140688694808,158,241,18,18
0.0,0.98,0.02,1.1744317030642297,3106.064023463643,631.6630139953268,97.75931453995584,98.26013692836864,117.2514665530356,0.012974152178076643,98.26013692836864,117.2514665530356,0.7464629750504103,158,241,19,19
0.14,0.84,0.02,1.1843561406466936,3079.567854366139,659.9135570633639,98.41719202202908,98.30002362270642,117.57904054617525,0.012958780194309608,98.30002362270642,117.57904054617525,0.7451978590365947,158,241,20,20
0.16,0.84,0.0,1.1868648655927219,3066.2349896315786,669.0350632864811,98.53949963520436,98.30344087720944,117.78505177235901,0.012951869754891432,98.30344087720944,117.78505177235901,0.744970195608038,158,241,21,21
0.02,0.94,0.04,1.1747562655434352,3111.6956325221927,630.7805569161324,97.88114096227193,98.32243184329946,117.18150644288248,0.012985266501765708,98.32243184329946,117.18150644288248,0.746932666932851,158,241,22,22
0.12,0.84,0.04,1.1818096808966838,3093.1206265977435,650.7134122146022,98.34234528240607,98.32641333272797,117.44511707868722,0.012970649035981333,98.32641333272797,117.44511707868722,0.7457556743758293,158,241,23,23
0.08,0.86,0.06,1.1778735336454702,3110.152971219674,637.7033595262928,98.13496865794379,98.33602765002153,117.26162621411123,0.0129836570977864,98.33602765002153,117.26162621411123,0.7464427544745713,158,241,24,24
0.06,0.88,0.06,1.1764706578567563,3113.800577118259,633.7610504274953,98.04920058078126,98.36119574809555,117.20589216432354,0.012990184139801226,98.36119574809555,117.20589216432354,0.7468462397976444,158,241,25,25
0.1,0.84,0.06,1.179249284690324,3106.7012329389554,641.5581720011955,98.28116827868172,98.37210493657523,117.38091613751116,0.012984920673550488,98.37210493657523,117.38091613751116,0.746515254234275,158,241,26,26
0.04,0.9,0.06,1.175034124023338,3117.665859272438,629.7255597866824,98.0030839042035,98.41093546266468,117.20739166476731,0.012999653262958677,98.41093546266468,117.20739166476731,0.7473921102146016,158,241,27,27
